FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631606,POINT (16.400961105723 48.251753825261005),VS Prießnitzgasse 1-3/II,"21., Prießnitzgasse 1-3/II",,1,Volksschule (öffentlich),921191,01 4000 563 450,http://priessnitzgasse.schule.wien.at/,631606,
SCHULEOGD.631607,POINT (16.40248110928581 48.25959378733817),PMS Weisselgasse 28,"21., Weisselgasse 28",,2,Mittelschule (privat),921192,01 890 41 85-12,,631607,
SCHULEOGD.631608,POINT (16.380871263785323 48.29438363472531),PVS Mayerweckstraße 1,"21., Mayerweckstraße 1",,1,Volksschule (privat),921201,01 291 08-207,http://www.kphvie.ac.at,631608,
SCHULEOGD.631609,POINT (16.38880122788204 48.296913617290706),PVS Anton-Böck-Gasse 20,"21., Anton-Böck-Gasse 20",,1,Volksschule (privat),921211,01 291 25-660,http://www.dls21.at/,631609,
SCHULEOGD.631610,POINT (16.443280924940268 48.26995371273186),VS Dopschstraße 25,"21., Dopschstraße 25",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),921251,01 259 61 48,http://schule21.schule.wien.at,631610,
SCHULEOGD.631611,POINT (16.419841050895165 48.27805368856582),VS Marco-Polo-Platz 9,"21., Marco-Polo-Platz 9",,1,Volksschule (öffentlich),921281,01 292 41 80,http://vs21marcopolo.wordpress.com/,631611,
SCHULEOGD.631612,POINT (16.420581057908652 48.28659364705081),VS Rittingergasse 29a,"21., Rittingergasse 29a",,1,Volksschule (öffentlich),921301,01 4000 563 480,http://rittingergasse.schule.wien.at,631612,
SCHULEOGD.631613,POINT (16.415061093145955 48.29242362320488),VS Schumpeterweg 3,"21., Schumpeterweg 3",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),921311,01 290 97 54-111,http://www.vs-schumpeterweg.at,631613,
SCHULEOGD.631614,POINT (16.410081106222233 48.28430366416062),VS Hanreitergasse 2,"21., Hanreitergasse 2",,1,Volksschule (öffentlich),921321,01 294 40 86-111,http://ovshanreitergasse.at,631614,
SCHULEOGD.631615,POINT (16.437400938797563 48.259523765534354),VS Zehdengasse 9,"21., Zehdengasse 9",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),921331,01 258 78 90-111,http://www.zehdengasse.at/,631615,
SCHULEOGD.631616,POINT (16.453530873727555 48.26957370835094),VS Adolf-Loos-Gasse 2,"21., Adolf-Loos-Gasse 2",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),921351,01 256 87 27,http://vs-loosgasse.schule.wien.at,631616,
SCHULEOGD.631617,POINT (16.402591109437317 48.25956378751726),PVS Weisselgasse 28,"21., Weisselgasse 28 / Nordbahnanlage 3",,1,Volksschule (privat),921361,01 890 41 85-10,http://www.aisv.at,631617,
SCHULEOGD.631618,POINT (16.417081029554225 48.253333808288865),VS  Donaufelderstraße 77,"21., Donaufelderstraße 77",Campus,1,Volksschule (öffentlich),921381,01 4000 563 530,http://www.campusdonaufeld.at,631618,
SCHULEOGD.631619,POINT (16.39327116075325 48.26392377219832),Montessori-Schule Wien 21 - Neue Welt,"21., Galvanigasse 15-17",,11,Sonstige (privat),921391,+43 664 7307 9963,http://www.montessori-kinderwelt.at,631619,
SCHULEOGD.631620,POINT (16.39315116174455 48.26389377244495),Privatschule für instinktives Lernen,"21., Galvanigasse 15-17",,12,Statutschule (privat),921401,0664 7307 9963,http://www.talent84.at/,631620,
SCHULEOGD.631621,POINT (16.389131197682293 48.275563719622355),PVS Pragerstraße 124,"21., Pragerstraße 124",,1,Volksschule (privat),921411,01 270 00 44/11,http://www.avicenna.schule.wien.at,631621,
SCHULEOGD.631622,POINT (16.430700991762468 48.274433698643485),VS Marischkapromenade 16,"21., Marischkapromenade 16",,1,Volksschule (öffentlich),921421,,,631622,
SCHULEOGD.631623,POINT (16.45305087422446 48.268183715029345),Höhere Bundeslehranstalt für Tourismus und wirtschaftliche Berufe,"21., Wassermanngasse 12",,9,Humanberufliche Schule (öffentlich),921449,01 258 28 90,http://www.wassermanngasse.at.,631623,
SCHULEOGD.631624,POINT (16.380881263696732 48.2944236345756),Private Pädagogische Hochschule - Erzdiözese Wien,"21., Mayerweckstraße 1",,11,Sonstige (öffentlich),921670,01 29 108-106,http://www.kphvie.at,631624,
SCHULEOGD.631625,POINT (16.431330961837862 48.25457379324592),Tierpflegerschule des Fonds zur Förderung der Tierpflegerausbildung,"21., Veterinärplatz 1",,9,Humanberufliche Schule (privat),921710,01 250 77 3750,http://www.tierpflegeschule.com,631625,
SCHULEOGD.631626,POINT (16.38879122935984 48.297293615490325),"BAFEP 21 Bildungsanstalt für Elementarpädagogik des Vereins ""Schulverein De La Salle""","21., Anton-Böck-Gasse 20",,10,Lehrerbildende mittlere und höhere Schulen (privat),921800,+43 1 291 25 651,http://bafep.dls21.at/,631626,
SCHULEOGD.631627,POINT (16.40239111012439 48.25962378720746),Islamische Akademie Wien des Vereins Al Azhar International Schools,"21., Weisselgasse 28",,11,Sonstige (privat),921820,01 607 70 59,,631627,
SCHULEOGD.631628,POINT (16.405221092269176 48.25645380046319),BAFEP 21 Patrizigasse 2,"21., Patrizigasse 2",,10,Lehrerbildende mittlere und höhere Schulen (privat),921830,01 4000-90950,http://www.bakip21.wien.at/,631628,
SCHULEOGD.631629,POINT (16.39868112638953 48.25785379753799),Kolleg für Sozialpädagogik für Berufstätige,"21., Schlosshofer Straße 4",,10,Lehrerbildende mittlere und höhere Schulen (privat),921860,01 269 96 00,http://www.sozialpaedagogik.at,631629,
SCHULEOGD.631630,POINT (16.483600654893138 48.217413938488036),VS Asperner Heldenplatz 3,"22., Asperner Heldenplatz 3",,1,Volksschule (öffentlich),922011,01 282 14 99-111,http://aspern.cool.am/,631630,
SCHULEOGD.631631,POINT (16.43748092142051 48.24690382628665),MS Anton-Sattler-Gasse 93,"22., Anton-Sattler-Gasse 93",,2,Mittelschule (öffentlich),922012,01 203 47 81-211,http://gts-anton-sattler-gasse.schule.wien.at/,631631,
SCHULEOGD.631632,POINT (16.43797091449963 48.243613841877625),PTS Wintzingerodestraße 1-3,"22., Wintzingerodestraße 1-3",,4,Polytechnische Schule (öffentlich),922014,01 203 73 82,http://www.pts22.at/,631632,
SCHULEOGD.631633,POINT (16.43267093712367 48.24140385529395),Berufsschule für Baugewerbe,"22., Wagramer Straße 65",,5,Berufsschule (öffentlich),922015,01 59916-96072,http://www.bsbau.at,631633,
SCHULEOGD.631634,POINT (16.43997090071467 48.2412138515873),GRg 22 Bernoullistraße 3,"22., Bernoullistraße 3",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922016,01 203 23 55,http://www.bernoulligymnasium.at,631634,
SCHULEOGD.631635,POINT (16.501440616214893 48.252473760630885),VS Schukowitzgasse 89,"22., Schukowitzgasse 89",,1,Volksschule (öffentlich),922021,01 4000 563 660,http://vs-schukowitzgasse.schule.wien.at,631635,
SCHULEOGD.631636,POINT (16.446530882057214 48.25081380154732),ASO Lorenz-Kellner-Gasse 15,"22., Lorenz-Kellner-Gasse 15",,3,Sonderschule (öffentlich),922023,01 4000 563 630,http://www.lorenzkellnergasse.at/,631636,
SCHULEOGD.631637,POINT (16.42986095211435 48.242593851141656),Berufsschule für Gartenbau und Floristik,"22., Donizettiweg 31",,5,Berufsschule (öffentlich),922025,01 59916-95861,http://www.bsgf.schule.wien.at,631637,
SCHULEOGD.631638,POINT (16.45117083317807 48.23213388785956),GRgORg 22 Polgarstraße 24,"22., Polgarstraße 24",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922026,01 202 61 41,http://www.polgargym.at/,631638,
SCHULEOGD.631639,POINT (16.526490441316213 48.21424392690277),VS Eßlinger Hauptstraße 97,"22., Eßlinger Hauptstraße 97",,1,Volksschule (öffentlich),922031,01 774 27 23,http://www.offene-volksschule-an-der-lobau.at,631639,
SCHULEOGD.631640,POINT (16.456950797404012 48.22659391096183),MS Konstanziagasse 50,"22., Konstanziagasse 50",,2,Mittelschule (öffentlich),922032,01 4000 560 140,http://www.ko50.at/,631640,
SCHULEOGD.631641,POINT (16.480950699589716 48.24022383159567),Berufsschule für Einzelhandel und EDV-Kaufleute,"22., Prinzgasse 3",,5,Berufsschule (öffentlich),922035,01 59916 95141,http://www.ehdv.at,631641,
SCHULEOGD.631642,POINT (16.431720947171083 48.245033838876346),Vienna International School,"22., Straße der Menschenrechte 1",,12,Statutschule (privat),922036,01 203 55 95 146,http://www.vis.ac.at/,631642,
SCHULEOGD.631643,POINT (16.47203070925659 48.21618395147675),SSH Hammerfestweg 1,"22., Hammerfestweg 1",Ganztagsschule in getrennter Abfolge,3,Sonderschule (öffentlich),922043,01 282 58 04,http://schwerhoerigen.schule.wien.at/,631643,
SCHULEOGD.631644,POINT (16.339081340666038 48.20262409842831),SSH Hammerfestweg 1,"7., Kandlgasse 39",,11,Sonstige (öffentlich),922043e,,,631644,
SCHULEOGD.631645,POINT (16.452070860905764 48.254833779416145),GRg 22 Theodor Kramer-Straße 3,"22., Theodor Kramer-Straße 3",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922046,01 258 69 50,http://www.thkr.at,631645,
SCHULEOGD.631646,POINT (16.444670872761076 48.237163868274465),VS Georg-Bilgeri-Straße 13,"22., Georg-Bilgeri-Straße 13",,1,Volksschule (öffentlich),922051,01 203 83 13,http://volksschule-georg-bilgeri.jimdo.com/,631646,
SCHULEOGD.631647,POINT (16.467220751316955 48.2290538931431),WMS Plankenmaisstraße 30,"22., Plankenmaisstraße 30",,2,Mittelschule (öffentlich),922052,01 282 21 67-211,http://plankenmais.schule.wien.at/,631647,
SCHULEOGD.631648,POINT (16.47157071141041 48.216273951431994),HS Plankenmaisstraße 30,"22., Hammerfestweg 1",,11,Sonstige (öffentlich),922052e,282 58 04,,631648,
SCHULEOGD.631649,POINT (16.439810891101203 48.233383889523466),HS Plankenmaisstraße 30,"22., Steinbrechergasse 6",,11,Sonstige (öffentlich),922052e,203 63 92,,631649,
SCHULEOGD.631650,POINT (16.44200091803955 48.260743756872095),ZIS Stadlauerstraße 51,"22., Stadlauerstraße 51",,3,Sonderschule (öffentlich),922053,01 258 31 79-311,http://zis22.schule.wien.at/,631650,
SCHULEOGD.631651,POINT (16.44656088197767 48.25096380120167),SES Brioschiweg 1,"22., Lorenz Kellner-Gasse 15",,11,Sonstige (öffentlich),922053e,,,631651,
SCHULEOGD.631652,POINT (16.388131143627334 48.23331392176966),SES Brioschiweg 1,"20., Pöchlarnstraße 14",,11,Sonstige (öffentlich),922053e,,,631652,
SCHULEOGD.631653,POINT (16.382031183532455 48.24078388910877),SES Brioschiweg 1,"20., Vorgartenstraße 42",,11,Sonstige (öffentlich),922053e,,,631653,
SCHULEOGD.631654,POINT (16.47826068222484 48.21860393588575),SES Brioschiweg 1,"22., Eibengasse 56-58",,11,Sonstige (öffentlich),922053e,,,631654,
SCHULEOGD.631655,POINT (16.48328065257748 48.214803950568125),GRg 22 Heustadelgasse 4,"22., Heustadelgasse 4",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922056,01 285 81 12,http://www.heustadelgasse.at/,631655,
SCHULEOGD.631656,POINT (16.43899091963789 48.25147380382383),VS Klenaugasse 12,"22., Klenaugasse 12",,1,Volksschule (öffentlich),922061,01 203 36 74,http://www.klenaugasse.at,631656,
SCHULEOGD.631657,POINT (16.46963074233994 48.23102388178092),GRg 22 Contiweg 1,"22., Contiweg 1",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922066,01 283 48 23,http://www.contiweg.at,631657,
SCHULEOGD.631658,POINT (16.45366080953654 48.22309393013787),VS Konstanziagasse 24-26,"22., Konstanziagasse 24-26",,1,Volksschule (öffentlich),922071,01 280 98 61,http://www.konstanzia-kids.info,631658,
SCHULEOGD.631659,POINT (16.453410863127832 48.261293747348894),pRgORg 22 Maculangasse 2,"22., Maculangasse 2",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (privat),922076,01 255 73 59,http://www.erg-donaustadt.at,631659,
SCHULEOGD.631660,POINT (16.459540776500727 48.22002394095398),VS Wulzendorfstraße 1,"22., Wulzendorfstraße 1",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),922081,01 282 63 13-111,http://wulzendorf.schule.wien.at/,631660,
SCHULEOGD.631661,POINT (16.503860564478426 48.22355389699689),BgBRg Maria-Trapp-Platz 5,"22., Maria-Trapp-Platz 5",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),922086,01 202 19 44,http://www.brg-seestadt.at/,631661,
SCHULEOGD.631662,POINT (16.438430915490887 48.246363828054506),VS Meißnergasse 1,"22., Meißnergasse 1",,1,Volksschule (öffentlich),922091,01 4000 563 720,https://ovsmeissnergasse.schule.wien.at/,631662,
SCHULEOGD.631663,POINT (16.444080883268413 48.24279384200874),VS Natorpgasse 1,"22., Natorpgasse 1",,1,Volksschule (öffentlich),922101,01 203 83 14-111,http://www.natorpgasse.at/,631663,
SCHULEOGD.631664,POINT (16.451100853221142 48.245993822171165),MS Afritschgasse 56,"22., Afritschgasse 56",,2,Mittelschule (öffentlich),922102,01 202 43 70,http://www.nmskagran.at/,631664,
